City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
211,Puerto Cabezas,14.0351,-83.3888,74.88,88,1,4.97,NI,clear sky
212,Gympie,-26.1898,152.665,75.0,81,85,5.01,AU,overcast clouds
213,Khuzhir,53.1939,107.3397,16.77,92,58,6.85,RU,broken clouds
214,Najran,17.4924,44.1277,55.4,54,0,6.58,SA,clear sky
215,Erzin,36.9559,36.2,50.0,100,40,3.44,TR,scattered clouds
216,Sur,22.5667,59.5289,70.43,57,1,2.59,OM,clear sky
217,Pacifica,37.6138,-122.4869,55.0,71,20,8.05,US,few clouds
218,Mandalgovi,45.7625,106.2708,24.78,76,0,15.41,MN,clear sky
219,La Ronge,55.1001,-105.2842,-32.8,61,0,3.44,CA,clear sky
220,Gondanglegi,-7.7479,112.0132,84.58,74,69,12.82,ID,broken clouds
221,Avarua,-21.2078,-159.775,84.2,74,40,8.05,CK,light rain
222,Sicamous,50.8331,-118.9856,24.8,74,99,2.3,CA,overcast clouds
223,Khandagayty,50.7333,92.05,3.04,90,100,3.04,RU,overcast clouds
224,Benguela,-12.5763,13.4055,75.34,77,99,3.67,AO,overcast clouds
225,Romitan,39.9343,64.3814,48.2,87,100,2.3,UZ,overcast clouds
226,Kalmunai,7.4167,81.8167,80.58,82,43,16.73,LK,scattered clouds
227,Jalu,29.0331,21.5482,66.29,25,100,19.39,LY,overcast clouds
228,Port Elizabeth,-33.918,25.5701,64.4,77,0,17.27,ZA,clear sky
229,Isangel,-19.55,169.2667,86.0,74,40,6.91,VU,scattered clouds
230,Shelburne,44.0787,-80.2041,9.0,89,72,10.96,CA,broken clouds
231,New Norfolk,-42.7826,147.0587,66.99,53,90,3.0,AU,overcast clouds
232,Lanigan,51.8501,-105.0344,-32.8,68,0,5.75,CA,clear sky
233,Maniwaki,46.3834,-75.966,5.0,72,6,4.61,CA,clear sky
234,Monjas,14.5,-89.8667,57.99,84,1,4.0,GT,clear sky
235,Port Augusta,-32.5,137.7667,87.01,38,0,11.5,AU,clear sky
236,Tashtagol,52.7657,87.8894,29.44,96,99,3.38,RU,overcast clouds
237,Paita,-5.0892,-81.1144,75.63,74,88,11.79,PE,overcast clouds
238,Bilma,18.6853,12.9164,57.78,30,100,3.38,NE,overcast clouds
239,Sobolevo,54.4299,31.8996,-5.49,92,15,1.36,RU,few clouds
240,Tinskoy,56.1525,96.9161,31.06,95,90,8.46,RU,light snow
241,Anadyr,64.75,177.4833,8.6,61,100,20.13,RU,snow
242,Victoria,22.2855,114.1577,75.2,53,20,17.27,HK,few clouds
243,Roma,43.2128,-75.4557,15.8,53,90,8.05,US,overcast clouds
244,Vila Velha,-20.3297,-40.2925,70.0,100,90,3.44,BR,overcast clouds
245,Mozirje,46.3394,14.9633,46.99,92,58,3.0,SI,broken clouds
246,Mayor Pablo Lagerenza,-19.9309,-60.7718,68.04,47,9,3.13,PY,clear sky
247,Abu Dhabi,24.4667,54.3667,68.0,73,0,5.75,AE,clear sky
248,Bubaque,11.2833,-15.8333,78.48,56,1,13.35,GW,clear sky
249,Yamethin,20.4333,96.15,80.33,43,5,3.29,MM,clear sky
250,Nuuk,64.1835,-51.7216,30.2,40,20,17.27,GL,few clouds
251,Cabedelo,-6.9811,-34.8339,78.8,83,20,5.75,BR,few clouds
252,Ignacio Zaragoza,28.3833,-107.2167,50.0,26,2,1.99,MX,clear sky
253,Wynyard,-41.0,145.7167,68.83,48,34,6.71,AU,scattered clouds
254,Lompoc,34.6391,-120.4579,53.6,87,90,6.91,US,overcast clouds
255,Anjiang,27.3194,110.1031,49.42,84,100,4.7,CN,light rain
256,Nalut,30.3333,10.85,50.68,47,0,9.84,LY,clear sky
257,Ust-Tsilma,65.441,52.1498,-14.46,86,100,11.1,RU,overcast clouds
258,Mahebourg,-20.4081,57.7,84.2,65,40,12.66,MU,scattered clouds
259,Camabatela,-8.1881,15.375,64.06,100,100,4.47,AO,overcast clouds
260,Yumen,40.2833,97.2,36.1,62,100,11.25,CN,overcast clouds
261,High Level,58.5169,-117.136,-20.2,69,1,12.66,CA,clear sky
262,Vila Franca Do Campo,37.7167,-25.4333,57.2,82,20,13.8,PT,few clouds
263,Oktyabrskiy,54.4815,53.471,-8.82,87,100,14.05,RU,overcast clouds
264,Bahjoi,28.4,78.6167,65.62,45,0,5.59,IN,clear sky
265,Buala,-8.145,159.5921,84.33,78,79,10.25,SB,moderate rain
266,Lakhisarai,25.1768,86.0932,71.26,37,0,9.31,IN,clear sky
267,Okha,53.5739,142.9478,19.11,96,100,20.0,RU,light snow
268,Tromso,69.6496,18.957,26.6,80,75,8.05,NO,light snow
269,Arrecife,28.963,-13.5477,60.8,72,90,4.61,ES,overcast clouds
270,Bethel,41.3712,-73.414,26.6,63,90,10.36,US,overcast clouds
271,Lingyuan,41.24,119.4011,28.62,71,0,3.87,CN,clear sky
272,Nikolskoye,59.7035,30.7861,10.0,85,75,6.71,RU,broken clouds
273,Hinatuan,8.3722,126.3342,76.87,93,100,6.17,PH,overcast clouds
274,Nioro,13.35,-15.75,66.72,24,33,8.81,GM,scattered clouds
275,Turukhansk,65.8167,87.9833,14.36,95,100,22.39,RU,light snow
276,Belyy Yar,53.6039,91.3903,14.0,85,88,2.24,RU,mist
277,Aykhal,66.0,111.5,-21.73,84,83,5.32,RU,broken clouds
